Easter Dining - Breakfast, Lunch and Dinner  
craving for donuts at 5am
Wind 1.3 mph ESE. Barometer 29.40 in, Falling. Temperature 49.3 °F. Rain today 0.20 in. Humidity 85%
@Skybridgedomain Hi, If you are interested to hire a resource to work on your project remotely, we would be happy t… 
@MoTownPhenom @arielhelwani me too
It's still raining, so watch for combined sewer overflows on Bergen Basin until 4:00 AM tomorrow
Want to work in #Melville, NY? View our latest opening:  #jobsearch #Hiring
levis x @mlb x @liveshiv @ New York, New York 
I have like ... a mini crush on @GillianJacobs 😜🌹 💕 #NetflixOriginal
Send Nudes Hours .
So you Want to be #FLOTUS and you Want to Be Left Alone, coming this Fall on #FXX 
I miss it already!! It was a pleasure watching you play and grow. The journey was incredible🤗🏆🏀Love you mom😘It only… 
@cnjguy91 west village. 1 block from path train. 8 th street &amp; 6 ave. Swing by any time. 
Never had a problem with Uber drivers...until I started taking them to work at 4:45 am. Then I had mad problems.
When ur reliving your night thru social media and then u remember that none of that matters if the kid who sells weed on ur block is asleep
After christification,regeneration,TRUTH YOGA&amp;ressurection yoga,karam yoga=good,action=second best,third best is GY… 
New Luxe Designs By Jonathan Adler  
Wind 2.7 mph NW. Barometer 30.05 in, Rising slowly. Temperature 49.5 °F. Rain today 0.00 in. Humidity 83%
Gah 😩 fam making me jealous with their Korea trip. That's it. Idc, I'm going on my 25th.
@uncriticalsimon @JHolmsted @peterdrysdale1 I mean, once the bats are drunk, I really couldn't care less.
@JetpackerCody noone uses a keyboard i play 6-6 sens
Cleared: Construction on #2Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
Cleared: Construction on #4Line BothDir/BothDir at 138th Street-Grand Concourse Station
Cleared: Construction on #ELine Both directions from 21st-Queensbridge to W 4th Street-Washington Square Station
Cleared: Construction on #FLine BothDir/BothDir from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Station
Cleared: Construction on #MLine Both directions from Essex Street Station to Myrtle Avenue Station
Cleared: Construction on #2Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
Update: Construction on #LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube 
Update: Construction on #NewJerseyTurnpike NB from Inner and Outer Roadway Merge to South of Interchange 14 -...
Cleared: Construction on #ELine Manhattan bound from Jackson Hts-Roosevelt Avenue Station to 21st- Queensbridge
Cleared: Construction on #3Line Both directions from 148th Street-Harlem Station to New Lots Avenue Station
Cleared: Construction on #MLine Both directions from Forest Hills-71st Avenue Station to Essex Street Station
Cleared: Construction on #3Line Both directions from 148th Street-Harlem Station to New Lots Avenue Station
Update: Construction on #I78 WB at Exit 29 - I-287/US 202/US 206 
Update: Construction on #ThrogsNeckBridge Both directions at Bronx Side 
Cleared: Construction on #1Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
Cleared: Construction on #ALine Manhattan bound from Jay Street-Metro Tech Station to W 4th Street-Washington Square Station
Cleared: Construction on #1Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
Cleared: Construction on #ALine Howard beach bound from 125th Street Station to 59th Street-Columbus Cir Station
Cleared: Construction on #2Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
Cleared: Construction on #MLine Both directions from Essex Street Station to Myrtle Avenue Station
Cleared: Construction on #MLine Both directions from Forest Hills-71st Avenue Station to Essex Street Station
Cleared: Construction on #3Line Both directions from 148th Street-Harlem Station to New Lots Avenue Station
Cleared: Construction on #1Line BothDir/BothDir from Chambers Street Station to 34th Street-Penn Station
