good morning world. #nuggz bout to get 💨
@NewtTrump @indianlakeohio I think they should go directly to indictments! NOTHING ever happens in Congress!
Definitely 🙈 
You bitches deal with the same type of niggas over &amp; over &amp; wonder why you stay getting fucked over 🤷🏽‍♂️
Cleared: Construction on #ELine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #2Line Both directions from Chambers Street Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #LLine Both directions from 8th Avenue Station to Rockaway Parkway-Canarsie Station
Cleared: Construction on #MLine Both directions from Essex Street Station to Myrtle Avenue Station
Cleared: Construction on #FLine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #LLine Both directions from 8th Avenue Station to Rockaway Parkway-Canarsie Station
Cleared: Construction on #4Line BothDir/BothDir from 125th Street Station to 42nd Street-Grand Central Station
Cleared: Construction on #7Line Manhattan bound from Mets-Willets Point Station to Queensboro Plaza Station
Cleared: Construction on #LLine Both directions from Lorimer Street Station to Broadway-Eastern Parkway Station
Cleared: Construction on #ALine Queens bound from W 4th Street-Washington Square Station to Jay Street-Metro Tech Station
Cleared: Construction on #FLine BothDir/BothDir from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Station
Cleared: Construction on #2Line BothDir/BothDir from Franklin Avenue Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #MLine Both directions from Forest Hills-71st Avenue Station to Essex Street Station
Cleared: Construction on #LLine Both directions from Lorimer Street Station to Broadway-Eastern Parkway Station
Cleared: Construction on #LLine Both directions from 8th Avenue Station to Rockaway Parkway-Canarsie Station
Cleared: Construction on #FranklinDRooseveltDrive Both directions from 62nd Street to East 73rd Street
Cleared: Construction on #FLine BothDir/BothDir from 34th Street-Herald Square Station to W 4th Street-Washington Square Station
Cleared: Construction on #3Line Both directions from 148th Street-Harlem Station to New Lots Avenue Station
Cleared: Construction on #MLine Both directions from Essex Street Station to Myrtle Avenue Station
Cleared: Construction on #DLine BothDir/BothDir from 36th Street Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #ELine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #FLine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #MLine Both directions from Essex Street Station to Myrtle Avenue Station
Cleared: Construction on #QLine BothDir/BothDir from Canal Street Station to Dekalb Avenue Station
Wind 8.7 mph WNW. Barometer 29.85 in, Rising. Temperature 37.0 °F. Rain today 0.00 in. Humidity 79%
Cleared: Construction on #FLine BothDir/BothDir from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Station
Cleared: Construction on #MLine Both directions from Forest Hills-71st Avenue Station to Essex Street Station
Cleared: Construction on #NLine Queens bound from 59th Street Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #ELine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #2Line Both directions from Chambers Street Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #FLine Queens bound from Jackson Hts-Roosevelt Avenue Station to Forest Hills-71st Avenue Station
Cleared: Construction on #RLine Queens bound from 59th Street Station to Atlantic Avenue-Barclays Center Station
Cleared: Construction on #QLine BothDir/BothDir from Canal Street Station to Dekalb Avenue Station
Cleared: Construction on #ALine Queens bound from W 4th Street-Washington Square Station to Jay Street-Metro Tech Station
